,name,mass,fall,year,reclat,reclong,GeoLocation
95,Benguerir,25000.0,Fell,2004.0,32.25,-8.15,"(32.250000, -8.150000)"
96,Beni M'hira,19000.0,Fell,2001.0,32.86667,10.8,"(32.866670, 10.800000)"
97,Benld,1770.5,Fell,1938.0,39.08333,-89.15,"(39.083330, -89.150000)"
98,Benoni,3880.0,Fell,1943.0,-26.16667,28.41667,"(-26.166670, 28.416670)"
99,Bensour,45000.0,Fell,2002.0,30.0,-7.0,"(30.000000, -7.000000)"
100,Benton,2840.0,Fell,1949.0,45.95,-67.55,"(45.950000, -67.550000)"
101,Berduc,270.0,Fell,2008.0,-31.91,-58.32833,"(-31.910000, -58.328330)"
102,Béréba,18000.0,Fell,1924.0,11.65,-3.65,"(11.650000, -3.650000)"
103,Berlanguillas,1440.0,Fell,1811.0,41.68333,-3.8,"(41.683330, -3.800000)"
104,Berthoud,960.0,Fell,2004.0,40.30583,-105.02325,"(40.305830, -105.023250)"
105,Bethlehem,13.9,Fell,1859.0,42.53333,-73.83333,"(42.533330, -73.833330)"
106,Beuste,2000.0,Fell,1859.0,43.21667,-0.23333,"(43.216670, -0.233330)"
107,Beyrout,1100.0,Fell,1921.0,33.88333,35.5,"(33.883330, 35.500000)"
108,Bhagur,18.0,Fell,1877.0,20.88333,74.83333,"(20.883330, 74.833330)"
109,Bhawad,678.0,Fell,2002.0,26.50833,73.11528,"(26.508330, 73.115280)"
110,Bherai,100.0,Fell,1893.0,20.83333,71.46667,"(20.833330, 71.466670)"
111,Bhola,1047.0,Fell,1940.0,22.68333,90.65,"(22.683330, 90.650000)"
112,Bholghati,2500.0,Fell,1905.0,22.08333,86.9,"(22.083330, 86.900000)"
113,Bialystok,4000.0,Fell,1827.0,53.1,23.2,"(53.100000, 23.200000)"
114,Bielokrynitschie,1900.0,Fell,1887.0,50.13333,27.16667,"(50.133330, 27.166670)"
115,Bilanga,25000.0,Fell,1999.0,12.45,-0.08333,"(12.450000, -0.083330)"
116,Binningup,488.1,Fell,1984.0,-33.15639,115.67639,"(-33.156390, 115.676390)"
117,Birni N'konni,560.0,Fell,1923.0,13.76667,5.3,"(13.766670, 5.300000)"
118,Bishopville,6000.0,Fell,1843.0,34.16667,-80.28333,"(34.166670, -80.283330)"
119,Bishunpur,1039.0,Fell,1895.0,25.38333,82.6,"(25.383330, 82.600000)"
120,Bjelaja Zerkov,1850.0,Fell,1796.0,49.78333,30.16667,"(49.783330, 30.166670)"
121,Bjurböle,330000.0,Fell,1899.0,60.4,25.8,"(60.400000, 25.800000)"
122,Black Moshannan Park,705.0,Fell,1941.0,40.91667,-78.08333,"(40.916670, -78.083330)"
123,Blackwell,2381.0,Fell,1906.0,36.83333,-97.33333,"(36.833330, -97.333330)"
124,Blanket,5100.0,Fell,1909.0,31.83333,-98.83333,"(31.833330, -98.833330)"
125,Blansko,470.0,Fell,1833.0,49.36667,16.63333,"(49.366670, 16.633330)"
126,Bloomington,67.8,Fell,1938.0,40.48,-89.00417,"(40.480000, -89.004170)"
127,Bo Xian,7500.0,Fell,1977.0,33.83333,115.83333,"(33.833330, 115.833330)"
128,Bocas,56.0,Fell,1804.0,23.0,-102.0,"(23.000000, -102.000000)"
129,Bogou,8800.0,Fell,1962.0,12.5,0.7,"(12.500000, 0.700000)"
130,Boguslavka,256000.0,Fell,1916.0,44.55,131.63333,"(44.550000, 131.633330)"
131,Borgo San Donino,1676.0,Fell,1808.0,44.86667,10.05,"(44.866670, 10.050000)"
132,Bori,8600.0,Fell,1894.0,21.95,78.03333,"(21.950000, 78.033330)"
133,Boriskino,1342.0,Fell,1930.0,54.23333,52.48333,"(54.233330, 52.483330)"
