,name,mass,fall,year,reclat,reclong,GeoLocation
6720,Dar al Gani 964,158.1,Found,2000.0,27.0345,16.14283,"(27.034500, 16.142830)"
6721,Dar al Gani 965,216.0,Found,1998.0,26.9415,16.42117,"(26.941500, 16.421170)"
6722,Dar al Gani 966,204.0,Found,1998.0,26.89633,16.5795,"(26.896330, 16.579500)"
6723,Dar al Gani 967,468.0,Found,1998.0,26.88917,16.55067,"(26.889170, 16.550670)"
6724,Dar al Gani 968,351.0,Found,1999.0,26.89267,16.57667,"(26.892670, 16.576670)"
6725,Dar al Gani 969,3145.0,Found,1998.0,26.98017,16.34967,"(26.980170, 16.349670)"
6726,Dar al Gani 970,251.0,Found,1998.0,26.89967,16.57817,"(26.899670, 16.578170)"
6727,Dar al Gani 971,202.0,Found,1999.0,26.89367,16.62617,"(26.893670, 16.626170)"
6728,Dar al Gani 972,121.0,Found,1999.0,27.098,16.12167,"(27.098000, 16.121670)"
6729,Dar al Gani 973,82.0,Found,1999.0,27.4505,16.22383,"(27.450500, 16.223830)"
6730,Dar al Gani 974,107.0,Found,1999.0,27.0295,16.37217,"(27.029500, 16.372170)"
6731,Dar al Gani 975,27.55,Found,1999.0,27.32717,16.21667,"(27.327170, 16.216670)"
6732,Dar al Gani 976,32.03,Found,1999.0,27.05417,16.3875,"(27.054170, 16.387500)"
6733,Dar al Gani 977,17.0,Found,2000.0,27.08333,16.36667,"(27.083330, 16.366670)"
6734,Dar al Gani 978,44.4,Found,1999.0,27.28067,16.40567,"(27.280670, 16.405670)"
6735,Dar al Gani 979,2483.0,Found,2000.0,27.45017,16.18667,"(27.450170, 16.186670)"
6736,Dar al Gani 980,93.0,Found,2001.0,26.83733,16.61367,"(26.837330, 16.613670)"
6737,Dar al Gani 981,931.0,Found,2001.0,27.20983,16.4265,"(27.209830, 16.426500)"
6738,Dar al Gani 982,177.0,Found,2000.0,27.2115,16.432,"(27.211500, 16.432000)"
6739,Dar al Gani 983,933.0,Found,2002.0,26.7375,16.8995,"(26.737500, 16.899500)"
6740,Dar al Gani 984,763.0,Found,2002.0,26.8105,16.80483,"(26.810500, 16.804830)"
6741,Dar al Gani 985,96.0,Found,2002.0,26.97333,16.54167,"(26.973330, 16.541670)"
6742,Dar al Gani 986,60.0,Found,2002.0,27.01933,16.51333,"(27.019330, 16.513330)"
6743,Dar al Gani 987,2031.0,Found,2002.0,27.06417,16.39367,"(27.064170, 16.393670)"
6744,Dar al Gani 988,3128.0,Found,2002.0,27.07,16.39317,"(27.070000, 16.393170)"
6745,Dar al Gani 989,764.0,Found,2002.0,27.1125,16.33167,"(27.112500, 16.331670)"
6746,Dar al Gani 990,219.0,Found,2002.0,27.113,16.33617,"(27.113000, 16.336170)"
6747,Dar al Gani 991,236.0,Found,2002.0,27.33067,16.2805,"(27.330670, 16.280500)"
6748,Dar al Gani 992,82.0,Found,2002.0,27.36417,16.28033,"(27.364170, 16.280330)"
6749,Dar al Gani 993,317.0,Found,2002.0,27.45367,16.323,"(27.453670, 16.323000)"
6750,Dar al Gani 994,7769.0,Found,2002.0,27.48717,16.44533,"(27.487170, 16.445330)"
6751,Dar al Gani 995,56.12,Found,2001.0,27.1725,16.38617,"(27.172500, 16.386170)"
6753,Dar al Gani 997,500.0,Found,1999.0,26.91667,16.66667,"(26.916670, 16.666670)"
6754,Dar al Gani 998,3522.0,Found,1999.0,27.17433,15.9205,"(27.174330, 15.920500)"
6755,Dar al Gani 999,2106.0,Found,2000.0,27.02583,16.36583,"(27.025830, 16.365830)"
6756,Daraj 001,30000.0,Found,1986.0,29.6425,11.73222,"(29.642500, 11.732220)"
6757,Daraj 002,4000.0,Found,1986.0,29.865,11.69167,"(29.865000, 11.691670)"
6758,Daraj 004,1470.0,Found,1986.0,29.865,11.69167,"(29.865000, 11.691670)"
6759,Daraj 005,500.0,Found,1986.0,29.59806,11.94028,"(29.598060, 11.940280)"
6760,Daraj 008,1270.0,Found,1986.0,29.57889,11.74944,"(29.578890, 11.749440)"
6761,Daraj 011,2600.0,Found,1986.0,29.50639,11.49861,"(29.506390, 11.498610)"
6762,Daraj 012,250.0,Found,1986.0,29.46556,11.43333,"(29.465560, 11.433330)"
6763,Daraj 013,352.0,Found,1986.0,29.59722,11.74167,"(29.597220, 11.741670)"
6764,Daraj 014,395.0,Found,1986.0,29.59806,11.74167,"(29.598060, 11.741670)"
6765,Daraj 015,2100.0,Found,1986.0,29.56306,12.03083,"(29.563060, 12.030830)"
6766,Daraj 020,355.0,Found,1986.0,29.61056,12.10778,"(29.610560, 12.107780)"
6767,Daraj 101,2800.0,Found,1986.0,29.64778,11.74694,"(29.647780, 11.746940)"
6768,Daraj 102,777.0,Found,1986.0,29.61778,11.77361,"(29.617780, 11.773610)"
6769,Daraj 105,1539.0,Found,1986.0,29.63139,11.76194,"(29.631390, 11.761940)"
6770,Daraj 107,770.0,Found,1986.0,29.51139,11.99111,"(29.511390, 11.991110)"
6771,Daraj 108,453.0,Found,1986.0,29.43833,11.87833,"(29.438330, 11.878330)"
6772,Daraj 109,280.0,Found,1986.0,29.48111,12.14056,"(29.481110, 12.140560)"
6773,Daraj 110,700.0,Found,1986.0,29.41917,12.125,"(29.419170, 12.125000)"
6774,Daraj 111,292.0,Found,1986.0,29.26806,11.70528,"(29.268060, 11.705280)"
6775,Daraj 112,215.0,Found,1986.0,29.66472,11.77639,"(29.664720, 11.776390)"
6776,Daraj 113,226.0,Found,1986.0,29.41278,11.95333,"(29.412780, 11.953330)"
6777,Daraj 114,85.0,Found,1986.0,29.62667,11.69389,"(29.626670, 11.693890)"
6778,Daraj 115,417.0,Found,1986.0,29.37806,11.88667,"(29.378060, 11.886670)"
6779,Daraj 116,2300.0,Found,1986.0,29.50944,11.80611,"(29.509440, 11.806110)"
6780,Daraj 118,570.0,Found,1986.0,29.58333,11.78333,"(29.583330, 11.783330)"
6781,Daraj 119,418.0,Found,1986.0,29.58333,11.78333,"(29.583330, 11.783330)"
6782,Daraj 120,231.0,Found,1986.0,29.58333,11.78333,"(29.583330, 11.783330)"
6783,Daraj 121,304.0,Found,1986.0,29.50639,11.49861,"(29.506390, 11.498610)"
6784,Daraj 125,405.0,Found,1986.0,29.62889,11.78778,"(29.628890, 11.787780)"
6785,Daraj 127,242.0,Found,1986.0,29.60028,12.23889,"(29.600280, 12.238890)"
6786,Daraj 128,234.0,Found,1986.0,29.32806,11.78222,"(29.328060, 11.782220)"
6787,Daraj 130,483.0,Found,1986.0,29.30222,11.91639,"(29.302220, 11.916390)"
6788,Daraj 131,151.0,Found,1986.0,29.30444,11.90722,"(29.304440, 11.907220)"
6789,Daraj 132,475.0,Found,1986.0,29.36306,11.99667,"(29.363060, 11.996670)"
6790,Daraj 133,313.0,Found,1986.0,29.53333,12.26667,"(29.533330, 12.266670)"
6791,Daraj 135,278.0,Found,1986.0,29.63333,11.73333,"(29.633330, 11.733330)"
6792,Daraj 136,341.0,Found,1986.0,29.58333,11.78333,"(29.583330, 11.783330)"
6793,Daraj 137,228.0,Found,1986.0,29.58333,11.78333,"(29.583330, 11.783330)"
6794,Daraj 139,244.0,Found,1986.0,29.58333,11.78333,"(29.583330, 11.783330)"
6795,Daraj 141,94.0,Found,1986.0,29.58333,11.78333,"(29.583330, 11.783330)"
6796,Daraj 143,374.0,Found,1986.0,29.58333,11.78333,"(29.583330, 11.783330)"
6797,Daraj 144,657.0,Found,1986.0,29.61667,11.75,"(29.616670, 11.750000)"
6798,Daraj 145,3354.0,Found,2000.0,29.64528,11.66472,"(29.645280, 11.664720)"
6799,Daraj 146,4553.0,Found,2000.0,29.62778,11.7025,"(29.627780, 11.702500)"
6800,Darinskoe,11200.0,Found,1984.0,51.41667,51.96667,"(51.416670, 51.966670)"
6801,David Glacier 01001,134.1,Found,2001.0,-75.68139,155.45306,"(-75.681390, 155.453060)"
6802,David Glacier 92300,26.7,Found,1992.0,-75.31667,162.0,"(-75.316670, 162.000000)"
6803,David Glacier 92301,108.7,Found,1992.0,-75.31667,162.0,"(-75.316670, 162.000000)"
6804,David Glacier 92302,58.8,Found,1992.0,-75.31667,162.0,"(-75.316670, 162.000000)"
6805,David Glacier 92303,7.3,Found,1992.0,-75.31667,162.0,"(-75.316670, 162.000000)"
6806,David Glacier 92304,4.7,Found,1992.0,-75.31667,162.0,"(-75.316670, 162.000000)"
6807,David Glacier 92305,0.9,Found,1992.0,-75.31667,162.0,"(-75.316670, 162.000000)"
6808,David Glacier 92306,1.6,Found,1992.0,-75.31667,162.0,"(-75.316670, 162.000000)"
6809,David Glacier 92307,5.0,Found,1992.0,-75.31667,162.0,"(-75.316670, 162.000000)"
6810,David Glacier 92308,1.7,Found,1992.0,-75.31667,162.0,"(-75.316670, 162.000000)"
6811,Davis Mountains,689000.0,Found,1903.0,30.75,-104.25,"(30.750000, -104.250000)"
6812,Davy (a),50600.0,Found,1940.0,29.1,-97.6,"(29.100000, -97.600000)"
6813,Davy (b),3770.0,Found,1981.0,29.00833,-97.70556,"(29.008330, -97.705560)"
6814,Dawn (a),7682.0,Found,1981.0,34.86,-102.12,"(34.860000, -102.120000)"
6815,Dawn (b),257.6,Found,1981.0,34.86,-102.12,"(34.860000, -102.120000)"
6816,Dayton,26300.0,Found,1892.0,39.75,-84.16667,"(39.750000, -84.166670)"
6817,De Hoek,20930.0,Found,1960.0,-29.38333,23.1,"(-29.383330, 23.100000)"
6818,De Kalb,566.0,Found,1969.0,39.59167,-94.92194,"(39.591670, -94.921940)"
6819,De Nova,12700.0,Found,1940.0,39.85,-102.95,"(39.850000, -102.950000)"
6820,Deakin 001,109.5,Found,1978.0,-30.88333,128.96667,"(-30.883330, 128.966670)"
6821,Deakin 002,4.5,Found,1978.0,-30.88333,128.975,"(-30.883330, 128.975000)"
6822,Deakin 003,82.6,Found,1986.0,-30.88333,128.66667,"(-30.883330, 128.666670)"
6823,Deakin 004,127.9,Found,1986.0,-30.47,128.745,"(-30.470000, 128.745000)"
6824,Deakin 005,77.0,Found,1989.0,-30.53333,128.56667,"(-30.533330, 128.566670)"
6825,Deakin 006,274.0,Found,1989.0,-30.58333,128.66667,"(-30.583330, 128.666670)"
6826,Deakin 007,1060.0,Found,1989.0,-30.16667,128.66667,"(-30.166670, 128.666670)"
6827,Deakin 008,61.4,Found,1989.0,-30.66667,129.01667,"(-30.666670, 129.016670)"
6828,Deakin 009,150.0,Found,1991.0,-30.73333,128.91667,"(-30.733330, 128.916670)"
6829,Deakin 010,438.0,Found,1988.0,-30.573,128.56367,"(-30.573000, 128.563670)"
6830,Deán Funes,9260.0,Found,1977.0,-30.43333,-64.2,"(-30.433330, -64.200000)"
6831,Deelfontein,28000.0,Found,1932.0,-30.18333,23.26667,"(-30.183330, 23.266670)"
6832,Deep Springs,11500.0,Found,1846.0,36.5,-79.75,"(36.500000, -79.750000)"
6833,Dehesa,280.0,Found,1866.0,-33.5,-70.5,"(-33.500000, -70.500000)"
6834,Del Rio,3596.0,Found,1965.0,29.36667,-100.96667,"(29.366670, -100.966670)"
6835,Delaware,8346.0,Found,1972.0,35.28333,-93.5,"(35.283330, -93.500000)"
6836,Delegate,27700.0,Found,1904.0,-37.0,149.03333,"(-37.000000, 149.033330)"
6837,Dellys,76.0,Found,1865.0,36.91667,3.91667,"(36.916670, 3.916670)"
6838,Delphos (a),1244.7,Found,1968.0,34.08333,-103.525,"(34.083330, -103.525000)"
6839,Delphos (b),548.0,Found,1968.0,34.09,-103.61167,"(34.090000, -103.611670)"
6840,Delphos (c),885.0,Found,1977.0,34.05,-103.63333,"(34.050000, -103.633330)"
6841,Delphos (d),276.0,Found,1969.0,34.05,-103.55,"(34.050000, -103.550000)"
6842,Deming,784.0,Found,2009.0,32.22548,-107.90459,"(32.225480, -107.904590)"
6843,Dengli,243.5,Found,1976.0,39.06667,58.86667,"(39.066670, 58.866670)"
6845,Denman 002,30.0,Found,1991.0,-30.6,130.06667,"(-30.600000, 130.066670)"
6846,Denman 003,53.0,Found,1991.0,-30.60867,130.08017,"(-30.608670, 130.080170)"
6847,Denman 004,113.0,Found,1991.0,-30.60217,129.96667,"(-30.602170, 129.966670)"
6848,Densmore (1879),37200.0,Found,1879.0,39.65,-99.68333,"(39.650000, -99.683330)"
6849,Densmore (1950),11300.0,Found,1950.0,39.56583,-99.64722,"(39.565830, -99.647220)"
6851,Denton County,5400.0,Found,1856.0,33.0,-97.0,"(33.000000, -97.000000)"
6852,Denver City,26100.0,Found,1975.0,33.07139,-102.80028,"(33.071390, -102.800280)"
6853,Deport,15000.0,Found,1926.0,33.51667,-95.3,"(33.516670, -95.300000)"
6854,Deport (a),604.0,Found,1944.0,33.51667,-95.3,"(33.516670, -95.300000)"
6855,Dermbach,1500.0,Found,1924.0,50.71667,10.11667,"(50.716670, 10.116670)"
6856,Derrick Peak 00200,10000.0,Found,2000.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
6857,Derrick Peak 00201,2689.4,Found,2000.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
6858,Derrick Peak 88017,63000.0,Found,1988.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
6859,Derrick Peak 88018,4000.0,Found,1988.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
6860,Derrick Peak 88019,1700.0,Found,1988.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
6861,Derrick Peak 88020,416.0,Found,1988.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
6862,Derrick Peak 88021,662.0,Found,1988.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
6863,Derrick Peak 88022,110.0,Found,1988.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
6864,Derrick Peak 88023,76.0,Found,1988.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
6865,Derrick Peak 88024,292.0,Found,1988.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
6866,Derrick Peak 88025,1797.0,Found,1988.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
6867,Derrick Peak A78001,15200.0,Found,1978.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
6868,Derrick Peak A78002,7188.0,Found,1978.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
6869,Derrick Peak A78003,144.2,Found,1978.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
6870,Derrick Peak A78004,133.6,Found,1978.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
6871,Derrick Peak A78005,18600.0,Found,1978.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
6872,Derrick Peak A78006,389.3,Found,1978.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
6873,Derrick Peak A78007,11800.0,Found,1978.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
6874,Derrick Peak A78008,59400.0,Found,1978.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
6875,Derrick Peak A78009,138100.0,Found,1978.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
6877,Derrick Peak A78011,31800.0,Found,1978.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
6878,Derrick Peak A78012,26000.0,Found,1978.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
6879,Derrick Peak A78013,10600.0,Found,1978.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
6880,Derrick Peak A78014,2250.0,Found,1978.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
6881,Derrick Peak A78015,1260.0,Found,1978.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
6882,Derrick Peak A78016,750.0,Found,1978.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
6883,Desert Willow,11.3,Found,2007.0,32.319,-111.077,"(32.319000, -111.077000)"
6884,Devil Peak,34.7,Found,1999.0,35.65917,-115.37283,"(35.659170, -115.372830)"
6885,Dexter,1724.0,Found,1889.0,33.81667,-97.0,"(33.816670, -97.000000)"
6886,Dhofar 001,46.0,Found,1999.0,18.165,54.08333,"(18.165000, 54.083330)"
6887,Dhofar 002,36.0,Found,1999.0,18.16667,54.085,"(18.166670, 54.085000)"
6888,Dhofar 003,65.0,Found,1999.0,18.20167,54.13667,"(18.201670, 54.136670)"
6889,Dhofar 004,163.0,Found,1999.0,18.42833,54.05333,"(18.428330, 54.053330)"
6890,Dhofar 005,125500.0,Found,2000.0,18.16667,54.16667,"(18.166670, 54.166670)"
6891,Dhofar 006,364.5,Found,1999.0,18.13167,54.10833,"(18.131670, 54.108330)"
6892,Dhofar 007,21270.0,Found,1999.0,18.335,54.18167,"(18.335000, 54.181670)"
6893,Dhofar 008,2200.0,Found,1999.0,18.34167,54.18833,"(18.341670, 54.188330)"
6894,Dhofar 009,2102.0,Found,1999.0,18.28167,54.11,"(18.281670, 54.110000)"
6895,Dhofar 010,3527.6,Found,1999.0,18.33833,54.19833,"(18.338330, 54.198330)"
6896,Dhofar 011,150.0,Found,1999.0,18.345,54.19833,"(18.345000, 54.198330)"
6897,Dhofar 012,4472.0,Found,2000.0,18.35833,54.23333,"(18.358330, 54.233330)"
6898,Dhofar 013,1070.0,Found,2000.0,18.36667,54.23667,"(18.366670, 54.236670)"
6899,Dhofar 014,414.0,Found,2000.0,18.24333,54.14167,"(18.243330, 54.141670)"
6900,Dhofar 015,184.0,Found,2000.0,18.64333,54.43,"(18.643330, 54.430000)"
6901,Dhofar 016,22.0,Found,2000.0,18.99333,54.415,"(18.993330, 54.415000)"
6902,Dhofar 017,1736.0,Found,2000.0,18.16,54.13833,"(18.160000, 54.138330)"
6903,Dhofar 018,833.0,Found,2000.0,18.30167,54.15333,"(18.301670, 54.153330)"
6904,Dhofar 019,1056.0,Found,2000.0,18.315,54.14833,"(18.315000, 54.148330)"
6905,Dhofar 020,256000.0,Found,2000.0,19.03333,54.51667,"(19.033330, 54.516670)"
6906,Dhofar 021,2534.0,Found,2000.0,18.15333,54.17833,"(18.153330, 54.178330)"
6907,Dhofar 022,110.0,Found,2000.0,19.02833,54.49167,"(19.028330, 54.491670)"
6908,Dhofar 023,118.0,Found,2000.0,19.075,54.5,"(19.075000, 54.500000)"
6909,Dhofar 024,164.0,Found,2000.0,19.06167,54.55333,"(19.061670, 54.553330)"
6910,Dhofar 025,751.0,Found,2000.0,18.40333,54.15167,"(18.403330, 54.151670)"
6911,Dhofar 026,148.0,Found,2000.0,18.22667,54.11167,"(18.226670, 54.111670)"
6912,Dhofar 027,623.0,Found,1999.0,19.26333,54.72067,"(19.263330, 54.720670)"
6913,Dhofar 028,34.0,Found,1999.0,18.07583,54.06717,"(18.075830, 54.067170)"
6914,Dhofar 029,2792.0,Found,1999.0,19.1005,54.8235,"(19.100500, 54.823500)"
6915,Dhofar 030,255.0,Found,1999.0,19.115,54.8235,"(19.115000, 54.823500)"
6916,Dhofar 031,444.0,Found,1999.0,19.11917,54.81,"(19.119170, 54.810000)"
6917,Dhofar 032,4002.0,Found,1999.0,19.122,54.79467,"(19.122000, 54.794670)"
6918,Dhofar 033,218.0,Found,1999.0,19.16933,54.70317,"(19.169330, 54.703170)"
6919,Dhofar 034,61.0,Found,1999.0,19.23717,54.49,"(19.237170, 54.490000)"
6920,Dhofar 035,326.0,Found,1999.0,19.16333,54.63667,"(19.163330, 54.636670)"
6921,Dhofar 036,1587.0,Found,1999.0,19.1275,54.8145,"(19.127500, 54.814500)"
6922,Dhofar 037,1024.0,Found,1999.0,19.11733,54.79683,"(19.117330, 54.796830)"
6923,Dhofar 038,126.0,Found,1999.0,19.11167,54.8195,"(19.111670, 54.819500)"
6924,Dhofar 039,111.0,Found,1999.0,19.115,54.82367,"(19.115000, 54.823670)"
6925,Dhofar 040,147.0,Found,1999.0,19.11833,54.82783,"(19.118330, 54.827830)"
6926,Dhofar 041,2356.0,Found,1999.0,19.10067,54.82,"(19.100670, 54.820000)"
6927,Dhofar 042,148.0,Found,1999.0,19.102,54.81867,"(19.102000, 54.818670)"
6928,Dhofar 043,1491.0,Found,1999.0,19.10533,54.81283,"(19.105330, 54.812830)"
6929,Dhofar 044,784.0,Found,1999.0,19.11933,54.795,"(19.119330, 54.795000)"
6930,Dhofar 045,264.0,Found,1999.0,19.129,54.78617,"(19.129000, 54.786170)"
6931,Dhofar 046,1177.0,Found,1999.0,19.1575,54.81967,"(19.157500, 54.819670)"
6932,Dhofar 047,102.0,Found,1999.0,19.22183,54.69267,"(19.221830, 54.692670)"
6933,Dhofar 048,203.0,Found,1999.0,19.1495,54.7555,"(19.149500, 54.755500)"
6934,Dhofar 049,2164.0,Found,1999.0,19.176,54.84533,"(19.176000, 54.845330)"
6935,Dhofar 050,300.0,Found,1999.0,19.176,54.87683,"(19.176000, 54.876830)"
6936,Dhofar 051,67.0,Found,1999.0,19.167,54.86633,"(19.167000, 54.866330)"
6937,Dhofar 052,108.0,Found,1999.0,19.15633,54.82417,"(19.156330, 54.824170)"
6938,Dhofar 053,90.0,Found,1999.0,19.21083,54.7195,"(19.210830, 54.719500)"
6939,Dhofar 054,985.0,Found,1999.0,19.14217,54.78683,"(19.142170, 54.786830)"
6940,Dhofar 055,235.0,Found,1999.0,19.14767,54.77633,"(19.147670, 54.776330)"
6941,Dhofar 056,37.0,Found,1999.0,19.14783,54.77517,"(19.147830, 54.775170)"
6942,Dhofar 057,4588.0,Found,1999.0,19.16217,54.7665,"(19.162170, 54.766500)"
6943,Dhofar 058,8852.0,Found,1999.0,19.17067,54.75967,"(19.170670, 54.759670)"
6944,Dhofar 059,495.0,Found,1999.0,19.20183,54.7385,"(19.201830, 54.738500)"
6945,Dhofar 060,33.0,Found,1999.0,19.1275,54.83567,"(19.127500, 54.835670)"
6946,Dhofar 061,186.0,Found,1999.0,19.17817,54.875,"(19.178170, 54.875000)"
6947,Dhofar 062,275.0,Found,1999.0,19.17833,54.874,"(19.178330, 54.874000)"
6948,Dhofar 063,160.0,Found,1999.0,19.17867,54.87417,"(19.178670, 54.874170)"
6949,Dhofar 064,14.0,Found,1999.0,19.13517,54.8565,"(19.135170, 54.856500)"
6950,Dhofar 065,565.0,Found,1999.0,19.11717,54.826,"(19.117170, 54.826000)"
6951,Dhofar 066,1001.0,Found,1999.0,19.18467,54.6725,"(19.184670, 54.672500)"
6952,Dhofar 067,229.0,Found,1999.0,19.18217,54.6445,"(19.182170, 54.644500)"
6953,Dhofar 068,250.0,Found,1999.0,19.19467,54.58133,"(19.194670, 54.581330)"
6954,Dhofar 069,10083.0,Found,1999.0,19.15867,54.731,"(19.158670, 54.731000)"
6955,Dhofar 070,89.0,Found,1999.0,19.16633,54.74333,"(19.166330, 54.743330)"
6956,Dhofar 071,135.0,Found,1999.0,19.15367,54.85367,"(19.153670, 54.853670)"
6957,Dhofar 072,112.0,Found,1999.0,19.15733,54.8665,"(19.157330, 54.866500)"
6958,Dhofar 073,161.0,Found,1999.0,19.14867,54.84733,"(19.148670, 54.847330)"
6959,Dhofar 074,2005.0,Found,1999.0,19.16717,54.781,"(19.167170, 54.781000)"
6960,Dhofar 075,70.0,Found,1999.0,19.10633,54.81883,"(19.106330, 54.818830)"
6961,Dhofar 076,2876.0,Found,1999.0,19.21767,54.56733,"(19.217670, 54.567330)"
6962,Dhofar 077,580.0,Found,1999.0,19.16017,54.8035,"(19.160170, 54.803500)"
6963,Dhofar 078,68.0,Found,1999.0,19.16717,54.78867,"(19.167170, 54.788670)"
6964,Dhofar 079,130.0,Found,1999.0,19.18367,54.75317,"(19.183670, 54.753170)"
6965,Dhofar 080,112.0,Found,1999.0,19.2375,54.72,"(19.237500, 54.720000)"
6966,Dhofar 081,174.0,Found,1999.0,19.322,54.78267,"(19.322000, 54.782670)"
6967,Dhofar 082,90.0,Found,1999.0,19.20517,54.55767,"(19.205170, 54.557670)"
6968,Dhofar 083,192.0,Found,1999.0,19.2465,54.66783,"(19.246500, 54.667830)"
6969,Dhofar 084,38.0,Found,1999.0,19.26583,54.69767,"(19.265830, 54.697670)"
6970,Dhofar 085,78.0,Found,1999.0,19.21233,54.8475,"(19.212330, 54.847500)"
6971,Dhofar 086,664.0,Found,1999.0,19.23233,54.81117,"(19.232330, 54.811170)"
6972,Dhofar 087,340.0,Found,1999.0,19.29467,54.71117,"(19.294670, 54.711170)"
6973,Dhofar 088,36.0,Found,1999.0,19.304,54.6955,"(19.304000, 54.695500)"
6974,Dhofar 089,152.0,Found,1999.0,19.22367,54.811,"(19.223670, 54.811000)"
6975,Dhofar 090,690.0,Found,1999.0,18.26117,54.32483,"(18.261170, 54.324830)"
6976,Dhofar 091,946.0,Found,1999.0,18.32967,54.4805,"(18.329670, 54.480500)"
6977,Dhofar 092,54.0,Found,1999.0,18.6395,54.54,"(18.639500, 54.540000)"
6978,Dhofar 093,220.0,Found,1999.0,18.6425,54.542,"(18.642500, 54.542000)"
6979,Dhofar 094,4395.0,Found,1999.0,18.665,54.56667,"(18.665000, 54.566670)"
6980,Dhofar 095,1095.0,Found,1999.0,18.67917,54.58783,"(18.679170, 54.587830)"
6981,Dhofar 096,640.0,Found,1999.0,18.66517,54.5635,"(18.665170, 54.563500)"
6982,Dhofar 097,44.0,Found,1999.0,18.73683,54.51133,"(18.736830, 54.511330)"
6983,Dhofar 098,1185.0,Found,1999.0,18.755,54.50833,"(18.755000, 54.508330)"
6984,Dhofar 099,504.0,Found,1999.0,18.857,54.48533,"(18.857000, 54.485330)"
6985,Dhofar 100,2551.0,Found,1999.0,18.90967,54.4765,"(18.909670, 54.476500)"
6986,Dhofar 1000,527.35,Found,1998.0,18.48778,54.18085,"(18.487780, 54.180850)"
6987,Dhofar 1001,606.97,Found,1998.0,18.55577,54.00077,"(18.555770, 54.000770)"
6988,Dhofar 1002,61.82,Found,2001.0,18.55905,54.09825,"(18.559050, 54.098250)"
6989,Dhofar 1003,7.61,Found,2001.0,18.92655,54.2624,"(18.926550, 54.262400)"
6990,Dhofar 1004,113.68,Found,2001.0,19.0448,54.50738,"(19.044800, 54.507380)"
6991,Dhofar 1005,35.37,Found,2001.0,19.06285,54.49708,"(19.062850, 54.497080)"
6992,Dhofar 1006,155.67,Found,2002.0,18.54293,54.00107,"(18.542930, 54.001070)"
6993,Dhofar 1007,87.77,Found,2003.0,18.5453,54.02017,"(18.545300, 54.020170)"
6994,Dhofar 1008,76.45,Found,2002.0,18.54872,54.02702,"(18.548720, 54.027020)"
6995,Dhofar 1009,334.23,Found,2003.0,18.5539,54.01315,"(18.553900, 54.013150)"
6996,Dhofar 101,386.0,Found,1999.0,18.9225,54.4745,"(18.922500, 54.474500)"
6997,Dhofar 1010,2298.4,Found,2002.0,18.55417,54.00253,"(18.554170, 54.002530)"
6998,Dhofar 1011,292.8,Found,2002.0,18.55478,54.04272,"(18.554780, 54.042720)"
6999,Dhofar 1012,144.87,Found,2002.0,18.55492,54.0293,"(18.554920, 54.029300)"
7000,Dhofar 1013,194.05,Found,2003.0,18.5552,54.01572,"(18.555200, 54.015720)"
7001,Dhofar 1014,298.27,Found,2002.0,18.55673,54.00083,"(18.556730, 54.000830)"
7002,Dhofar 1015,63.53,Found,2002.0,18.55907,54.08162,"(18.559070, 54.081620)"
7003,Dhofar 1016,125.21,Found,2003.0,18.55942,54.04513,"(18.559420, 54.045130)"
7004,Dhofar 1017,273.3,Found,2002.0,19.17203,54.79462,"(19.172030, 54.794620)"
7005,Dhofar 1018,506.0,Found,2001.0,18.71522,54.37633,"(18.715220, 54.376330)"
7006,Dhofar 1019,194.0,Found,2001.0,18.72603,54.37865,"(18.726030, 54.378650)"
7007,Dhofar 102,394.0,Found,1999.0,18.92967,54.47117,"(18.929670, 54.471170)"
7008,Dhofar 1020,105.0,Found,2001.0,18.73693,54.47907,"(18.736930, 54.479070)"
7009,Dhofar 1021,61.0,Found,2001.0,18.73293,54.58742,"(18.732930, 54.587420)"
7010,Dhofar 1022,271.0,Found,2001.0,19.24968,54.65495,"(19.249680, 54.654950)"
